id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCDMTPO21N000000001,장소,문화시설,7232990,메가박스,대전점,,100212,메가박스,3017010600107460000,대전광역시,서구,탄방동,,746,3017010600,3017055500,301703166027,문정로,77,127.387989439949,36.3475950596837,다바899166,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000002,장소,문화시설,7232992,CGV,광주첨단점,,100208,CGV,2920011600106940035,광주광역시,광산구,쌍암동,,694-35,2920011600,2920062600,292004289555,임방울대로826번길,29-31,126.850720685449,35.2163778824344,다라409914,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000003,장소,문화시설,7233044,롯데시네마,서귀포점,,100209,롯데시네마,5013010200109140000,제주특별자치도,서귀포시,법환동,,914,5013010200,5013059000,501303350224,월드컵로,33,126.508318986797,33.2458850224847,다나076731,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000004,장소,문화시설,7430840,아이맥스영화관,,,100202,일반극장/영화관,4221010800115450001,강원도,속초시,조양동,,1545-1,4221010800,4221058000,422103223008,엑스포로,75,128.582598564009,38.1908166230844,라아948217,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000005,장소,문화시설,10253648,명성극장,,,100202,일반극장/영화관,4725010700100010004,경상북도,상주시,남성동,,1-4,4725010700,4725052000,472503311074,왕산로,219-13,128.162146685808,36.4151351209179,라바593243,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000006,장소,문화시설,11282700,메가박스,원주점,,100212,메가박스,4213011000108730000,강원도,원주시,단계동,,873,4213011000,4213059000,421302219001,서원대로,165-3,127.929761356952,37.3450279567981,라사380274,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000007,장소,문화시설,16108373,영보소극장,,,100202,일반극장/영화관,4721010100103770018,경상북도,영주시,영주동,,377-18,4721010100,4721055000,472104727058,구성로350번길,24,128.624242958131,36.823844600204,마바002701,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000008,장소,문화시설,16489270,양주자동차극장,,,100207,자동차전용극장,4163011500104860004,경기도,양주시,고암동,,486-4,4163011500,4163055000,416304436344,청담로243번길,93,127.067883354007,37.8194562226098,다사619800,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000009,장소,문화시설,17519188,뮤즈DVD방,,,92005,비디오/DVD감상실,4113110100125150000,경기도,성남시 수정구,신흥동,,2515,4113110100,4113153000,411312179002,산성대로,269,127.146949440802,37.4411778790951,다사687380,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000010,장소,문화시설,18832436,거제연육교자동차극장,,,100202,일반극장/영화관,4831032023100950001,경상남도,거제시,동부면,구천리,95-1,4831032023,4831032000,483104811091,구천5길,25,128.637210018047,34.8120563222429,마라040469,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000011,장소,문화시설,21632954,해피존,,,92005,비디오/DVD감상실,4127310100105340003,경기도,안산시 단원구,고잔동,,534-3,4127310100,4127353200,412733191101,예술대학로,17,126.836518426711,37.3186916433869,다사412246,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000012,장소,문화시설,21653538,메가박스,논산점,,100212,메가박스,4423010900103820032,충청남도,논산시,내동,,382-32,4423010900,4423051000,442303255047,중앙로,255,127.099091766846,36.1898336640421,다마639992,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000013,장소,문화시설,21686613,트윈스비디오감상실,,,92005,비디오/DVD감상실,4113510500102690003,경기도,성남시 분당구,서현동,,269-3,4113510500,4113558000,411354340162,분당로53번길,15,127.121951809397,37.3843730838554,다사665317,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000014,장소,문화시설,21686740,아리아비디오전용휴게실,,,92005,비디오/DVD감상실,4511112100105400006,전라북도,전주시 완산구,남노송동,,540-6,4511112100,4511160500,451112266001,기린대로,123,127.153205749395,35.8200133733142,다마686582,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000015,장소,문화시설,21686742,탑스DVD방,,,92005,비디오/DVD감상실,4518010100105660001,전라북도,정읍시,수성동,,566-1,4518010100,4518051000,451803270061,중앙로,129,126.85286874718,35.5667525131154,다마413302,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000016,장소,문화시설,21686750,베니스영화감상실,,,92005,비디오/DVD감상실,4311110200102100003,충청북도,청주시 상당구,북문로1가,,210-3,4311110200,4311154500,,,,127.489633938966,36.6367723437566,다바990487,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000017,장소,문화시설,21688260,베스트DVD,,,92005,비디오/DVD감상실,1121510700100070011,서울특별시,광진구,화양동,,7-11,1121510700,1121571000,112154112197,동일로22길,102,127.069628790326,37.5408363719716,다사619491,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000018,장소,문화시설,21688282,팝스DVDDVD,,,92005,비디오/DVD감상실,3014010100101680010,대전광역시,중구,은행동,,168-10,3014010100,3014053500,301404295570,중앙로164번길,38,127.428472372337,36.3276903218017,다바935144,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000019,장소,문화시설,21823755,맥스DVD영화관,,,92005,비디오/DVD감상실,4415012000106500001,충청남도,공주시,신관동,,650-1,4415012000,4415057000,441503251015,번영1로,67,127.135131191321,36.4735690057585,다바673307,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000020,장소,문화시설,21831920,시네마V,,,100202,일반극장/영화관,4272037023112900002,강원도,홍천군,서면,팔봉리,1290-2,4272037023,4272037000,427204475627,한치골길,262,127.687325188592,37.6523305955834,라사165614,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000021,장소,문화시설,7233037,CGV,동백점,,100208,CGV,4146311600108330000,경기도,용인시 기흥구,중동,,833,4146311600,4146357500,414632203001,동백죽전대로,444,127.15106839705,37.2777036238753,다사690199,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000022,장소,문화시설,7233124,롯데시네마,서산점,,100209,롯데시네마,4421010200101930001,충청남도,서산시,동문동,,193-1,4421010200,4421052500,442103254124,율지18로,38,126.465614454498,36.7787899090832,다바076650,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000023,장소,문화시설,7233167,메가박스,속초점,,100212,메가박스,4221010800115060001,강원도,속초시,조양동,,1506-1,4221010800,4221058000,422104469207,조양로142번길,20,128.585917310434,38.1890808608622,라아950215,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000024,장소,문화시설,7233196,CGV,거제점,,100208,CGV,4831010800112110000,경상남도,거제시,장평동,,1211,4831010800,4831057000,483103337047,장평로,12,128.61616656554,34.8911974709103,마라019557,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000025,장소,문화시설,13661232,롯데시네마,동해점,,100209,롯데시네마,4217010100108630000,강원도,동해시,천곡동,,863,4217010100,4217051000,421703221045,한섬로,111-7,129.11537673361,37.5222553833022,마사427482,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000026,장소,문화시설,13720519,롯데시네마,경주점,,100209,롯데시네마,4713010600100730002,경상북도,경주시,노동동,,73-2,4713010600,4713051500,471303305007,계림로,83,129.213223846732,35.8416227788044,마마547619,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000027,장소,문화시설,14760555,시네마테크협의회,,,100202,일반극장/영화관,1111013700102880000,서울특별시,종로구,낙원동,,288,1111013700,1111061500,111102100001,삼일대로,428,126.988013551189,37.5727570953687,다사547527,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000028,장소,문화시설,14950214,스카이디지털영화관,,,92005,비디오/DVD감상실,4825010700114870006,경상남도,김해시,삼계동,,1487-6,4825010700,4825055000,482503335032,삼계중앙로,59,128.871648881163,35.2610203044297,마라247970,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000029,장소,문화시설,17632857,청석에듀씨어터,,,100202,일반극장/영화관,4161010200100150008,경기도,광주시,쌍령동,,15-8,4161010200,4161054000,416103211039,청석로,288-9,127.267240366116,37.412277976742,다사794348,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000030,장소,문화시설,18017221,CGV,평택소사점,,100208,CGV,4122011800110900002,경기도,평택시,비전동,,1090-2,4122011800,4122062000,412203188116,평남로,862,127.111519663388,37.0005659871338,다바654891,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000031,장소,문화시설,18401927,레드브이알,강남점,,92005,비디오/DVD감상실,1168010100108170017,서울특별시,강남구,역삼동,,817-17,1168010100,1168064000,116804166038,강남대로96길,13,127.028092018519,37.4999545280377,다사582446,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000032,장소,문화시설,18446853,털보만화카페,,,92005,비디오/DVD감상실,4825012900103010006,경상남도,김해시,대청동,,301-6,4825012900,4825062000,482503335033,삼문로,11,128.801885380522,35.1924084188004,마라185893,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000033,장소,문화시설,18919545,명화극장,,,100202,일반극장/영화관,4127310100105410001,경기도,안산시 단원구,고잔동,,541-1,4127310100,4127353200,412732190002,중앙대로,921,126.838995257195,37.3171588301104,다사414244,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000034,장소,문화시설,20790176,대전시마을극장,,,100202,일반극장/영화관,3014011600100010013,대전광역시,중구,문화동,,1-13,3014011600,3014072000,301403000095,계백로,1712,127.409758610187,36.3211398331691,다바919137,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000035,장소,문화시설,20980603,CGV,오산중앙점,,100208,CGV,4137010300103350010,경기도,오산시,원동,,335-10,4137010300,4137057000,413703198036,원동로,22,127.071013103818,37.1420138922461,다사619048,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000036,장소,문화시설,21061425,메가박스,세종청사점,,100212,메가박스,3611011000105100000,세종특별자치시,세종특별자치시,어진동,,510,3611011000,3611052000,361103258082,도움3로,19,127.257746812957,36.5026066979509,다바783339,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000037,장소,문화시설,21118691,시네마존,,,92005,비디오/DVD감상실,4111513400100490002,경기도,수원시 팔달구,매산로1가,,49-2,4111513400,4111566000,411153176018,향교로,12-1,127.002655978551,37.2677962136592,다사559188,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000038,장소,문화시설,21686641,팝스DVD영화관,평촌범계역2호점,,92005,비디오/DVD감상실,4117310400110460003,경기도,안양시 동안구,호계동,,1046-3,4117310400,4117361000,411734349201,평촌대로223번길,59,126.952607389269,37.3901799860997,다사515324,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000039,장소,문화시설,21686669,아카데미DVD,,,92005,비디오/DVD감상실,2623010300102150001,부산광역시,부산진구,부전동,,215-1,2623010300,2623052000,262304187689,중앙대로692번길,26,129.060675742304,35.1543810374482,마라421854,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000040,장소,문화시설,21686710,몽DVD영화방,,,92005,비디오/DVD감상실,2711010500100260009,대구광역시,중구,삼덕동1가,,26-9,2711010500,2711054500,271104223087,동성로5길,70,128.598325282182,35.8672114753443,라마991639,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000041,장소,문화시설,21686775,블루DVD,,,92005,비디오/DVD감상실,2818510200104080001,인천광역시,연수구,선학동,,408-1,2818510200,2818575000,281854256282,학나래로46번길,22,126.697764847095,37.4252421851282,다사290365,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000042,장소,문화시설,21866434,TAKE5,주안점,,92005,비디오/DVD감상실,2817710500101450009,인천광역시,미추홀구,주안동,,145-9,2817710500,2817762000,281774253280,미추홀대로734번길,26,126.681924013324,37.4628724637348,다사276407,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000043,장소,문화시설,7303241,일동빅시네자동차극장,,,100207,자동차전용극장,4165037026100690000,경기도,포천시,일동면,수입리,69,4165037026,4165037000,416503213025,수입로,46,127.326467236276,37.9739817587012,다사847971,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000044,장소,문화시설,11368243,월드시네마,,,100202,일반극장/영화관,4167010200102730000,경기도,여주시,홍문동,,273,4167010200,4167051000,416704442242,세종로79번길,8,127.635982906081,37.2903264191374,라사120212,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000045,장소,문화시설,14293786,메가박스,세종점,,100212,메가박스,3611025024100240001,세종특별자치시,세종특별자치시,조치원읍,교리,24-1,3611025024,3611025000,361103258013,새내로,122,127.298166861545,36.6028792712927,다바819450,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000046,장소,문화시설,14912022,채널비디오감상실,,,92005,비디오/DVD감상실,4711310100105990008,경상북도,포항시 북구,대흥동,,599-8,4711310100,4711352000,471134712655,중앙상가길,17-1,129.362798756983,36.0370587807494,마마678838,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000047,장소,문화시설,17787965,CGV,구리점,,100208,CGV,4131010300106760002,경기도,구리시,인창동,,676-2,4131010300,4131053000,413103000120,경춘로,243,127.142096185015,37.6018004734744,다사684558,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000048,장소,문화시설,18170623,CGV,동탄역점,,100208,CGV,4159012900110190000,경기도,화성시,오산동,,1019,4159012900,4159060000,415902348100,동탄대로,537,127.098092577608,37.2023846944174,다사643115,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000049,장소,문화시설,18263546,영천공설시장별빛영화관,,,100202,일반극장/영화관,4723011300109820034,경상북도,영천시,완산동,,982-34,4723011300,4723054000,472304730382,시장2길,10,128.937520852822,35.9638486176328,마마296750,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000050,장소,문화시설,18308555,부산예술관,,,100202,일반극장/영화관,2629010600109650002,부산광역시,남구,대연동,,965-2,2629010600,2629054000,262904193342,유엔평화로76번길,26,129.092796896126,35.1277301103528,마라451825,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000051,장소,문화시설,18419509,아리랑시네미디어센터,,,100202,일반극장/영화관,1129010300105380098,서울특별시,성북구,돈암동,,538-98,1129010300,1129059000,112903107009,아리랑로,82,127.013827966483,37.6003509440986,다사570557,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000052,장소,문화시설,18494618,여수자동차극장,,,100207,자동차전용극장,4613013100109280000,전라남도,여수시,소호동,,928,4613013100,4613078000,461304646552,소호12길,67,127.642742416699,34.7306189708031,라라130373,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000053,장소,문화시설,18919813,아트씨어터씨앤씨,,,100202,일반극장/영화관,2611011900100810001,부산광역시,중구,대청동4가,,81-1,2611011900,2611053000,261103125006,중구로,71,129.028341295572,35.1045032750589,마라392798,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000054,장소,문화시설,19937903,메가박스,전주혁신점,,100212,메가박스,4511313200111110000,전라북도,전주시 덕진구,장동,,1111,4511313200,4511367000,451133016078,기지로,77,127.059136030552,35.8393245057639,다마601604,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000055,장소,문화시설,20680766,씨씨방,,,92005,비디오/DVD감상실,4146110100101150003,경기도,용인시 처인구,김량장동,,115-3,4146110100,4146151000,414612012009,백옥대로,1121,127.208533222221,37.2357579687113,다사741152,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000056,장소,문화시설,20812172,IMAXDVD,,,92005,비디오/DVD감상실,2638010300108000011,부산광역시,사하구,하단동,,800-11,2638010300,2638056200,263802006002,낙동대로,552,128.963967358702,35.1133344424085,마라334807,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
